,State,District,Name,Party,Status,Religion
95,CT,3,Rosa DeLauro,D,Continuing,Catholic
96,CT,4,Jim Himes,D,Continuing,Presbyterian
97,CT,5,Jahana Hayes,D,Continuing,Methodist
98,CT,Senator,Richard Blumenthal,D,Continuing,Jewish
99,CT,Senator,Christopher S. Murphy,D,Continuing,Protestant unspecified
100,DE,At-large,Lisa Blunt Rochester,D,Continuing,Protestant unspecified
101,DE,Senator,Thomas R. Carper,D,Continuing,Presbyterian
102,DE,Senator,Chris Coons,D,Continuing,Presbyterian
103,FL,1,Matt Gaetz,R,Continuing,Baptist
104,FL,2,Neal Dunn,R,Continuing,Catholic
105,FL,3,Kat Cammack,R,Freshman,Protestant unspecified
106,FL,4,John Rutherford,R,Continuing,Catholic
107,FL,5,Al Lawson,D,Continuing,Episcopalian
108,FL,6,Michael Waltz,R,Continuing,Protestant unspecified
109,FL,7,Stephanie Murphy,D,Continuing,Protestant unspecified
110,FL,8,Bill Posey,R,Continuing,Methodist
111,FL,9,Darren Soto,D,Continuing,Catholic
112,FL,10,Val B. Demings,D,Continuing,Protestant unspecified
113,FL,11,Daniel Webster,R,Continuing,Baptist
114,FL,12,Gus Bilirakis,R,Continuing,Orthodox
115,FL,13,Charlie Crist,D,Continuing,Methodist
116,FL,14,Kathy Castor,D,Continuing,Presbyterian
117,FL,15,Scott Franklin,R,Freshman,Presbyterian
118,FL,16,Vern Buchanan,R,Continuing,Baptist
119,FL,17,Greg Steube,R,Continuing,Methodist
120,FL,18,Brian Mast,R,Continuing,Protestant unspecified
121,FL,19,Byron Donalds,R,Freshman,Protestant unspecified
122,FL,20,Alcee L. Hastings,D,Continuing,Methodist
123,FL,21,Lois Frankel,D,Continuing,Jewish
124,FL,22,Ted Deutch,D,Continuing,Jewish
125,FL,23,Debbie Wasserman Schultz,D,Continuing,Jewish
126,FL,24,Frederica S. Wilson,D,Continuing,Episcopalian
127,FL,25,Mario Diaz-Balart,R,Continuing,Catholic
128,FL,26,Carlos Gimenez,R,Freshman,Catholic
129,FL,27,Maria Elvira Salazar,R,Freshman,Protestant unspecified
130,FL,Senator,Marco Rubio,R,Continuing,Catholic
131,FL,Senator,Rick Scott,R,Continuing,Protestant unspecified
132,GA,1,"Earl L. ""Buddy"" Carter",R,Continuing,Methodist
133,GA,2,Sanford D. Bishop Jr.,D,Continuing,Baptist
134,GA,3,Drew Ferguson,R,Continuing,Nondenominational
135,GA,4,Hank Johnson,D,Continuing,Buddhist
136,GA,5,Nikema Williams,D,Freshman,Methodist
137,GA,6,Lucy McBath,D,Continuing,Protestant unspecified
138,GA,7,Carolyn Bourdeaux,D,Freshman,Protestant unspecified
139,GA,8,Austin Scott,R,Continuing,Baptist
140,GA,9,Andrew Clyde,R,Freshman,Baptist
141,GA,10,Jody B. Hice,R,Continuing,Baptist
