bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
A000375,Mr. ARRINGTON,House,TX,M,112902,255,236,3
A000376,Mr. ALLRED,House,TX,M,16282,10,1,0
N000181,Mr. NUNES,House,CA,M,143703,9,7,0
C000537,Mr. CLYBURN,House,SC,M,467971,153,152,7
M001160,Ms. MOORE,House,WI,F,387864,72,42,2
K000379,Mr. KENNEDY,House,MA,M,67388,5,6,1
W000826,Ms. WILD,House,PA,F,44536,0,0,0
B001309,Mr. BURCHETT,House,TN,M,72072,21,8,0
C001055,Mr. CASE,House,HI,M,184239,3,3,0
S001208,Ms. SLOTKIN,House,MI,F,100600,3,3,0
Y000065,Mr. YOHO,House,FL,M,169981,43,33,2
B001302,Mr. BIGGS,House,AZ,M,137765,14,19,2
G000576,Mr. GROTHMAN,House,WI,M,312984,43,37,0
J000288,Mr. JOHNSON of Georgia,House,GA,M,446327,442,299,0
F000449,Mr. FORTENBERRY,House,NE,M,233663,55,33,2
C001110,Mr. CORREA,House,CA,M,121639,19,20,0
M001153,Ms. MURKOWSKI,Senate,AK,F,1422550,76,74,1
E000295,Ms. ERNST,Senate,IA,F,213492,31,31,0
T000250,Mr. THUNE,Senate,SD,M,2147961,103,67,4
B001261,Mr. BARRASSO,Senate,WY,M,1350459,66,51,5
M001169,Mr. MURPHY,Senate,CT,M,1036454,48,37,0
B000575,Mr. BLUNT,Senate,MO,M,1029657,134,77,3
H001042,Ms. HIRONO,Senate,HI,F,502776,8,2,0
M001111,Mrs. MURRAY,Senate,WA,F,2287224,24,13,0
T000464,Mr. TESTER,Senate,MT,M,434784,26,28,0
F000463,Mrs. FISCHER,Senate,NE,F,246830,28,30,0
B000944,Mr. BROWN,Senate,OH,M,2020174,102,64,0
S001194,Mr. SCHATZ,Senate,HI,M,278183,7,6,0
B001236,Mr. BOOZMAN,Senate,AR,M,416802,79,48,2
M001190,Mr. MULLIN,House,OK,M,29868,10,1,0
D000617,Ms. DelBENE,House,WA,F,66287,0,0,0
M001137,Mr. MEEKS,House,NY,M,232306,70,48,1
D000191,Mr. DeFAZIO,House,OR,M,1186995,89,85,0
M001163,Ms. MATSUI,House,CA,F,411389,5,7,0
M001177,Mr. McCLINTOCK,House,CA,M,387423,39,41,0
B001304,Mr. BROWN of Maryland,House,MD,M,57760,5,6,0
B001278,Ms. BONAMICI,House,OR,F,219415,3,2,0
P000614,Mr. PAPPAS,House,NH,M,64795,0,0,0
D000096,Mr. DANNY K. DAVIS of Illinois,House,IL,M,1127514,253,134,12
S001180,Mr. SCHRADER,House,OR,M,80163,2,2,0
E000299,Ms. ESCOBAR,House,TX,F,31550,2,1,0
O000171,Mr. O'HALLERAN,House,AZ,M,41154,8,6,0
C001122,Mr. CUNNINGHAM,House,SC,M,24697,6,3,1
B001251,Mr. BUTTERFIELD,House,NC,M,278519,104,82,0
H001085,Ms. HOULAHAN,House,PA,F,32517,2,3,0
G000577,Mr. GRAVES of Louisiana,House,LA,M,150178,9,7,0
E000298,Mr. ESTES,House,KS,M,60201,24,12,1
D000619,Mr. RODNEY DAVIS of Illinois,House,IL,M,271110,34,41,1
H001066,Mr. HORSFORD,House,NV,M,115176,3,3,0
V000131,Mr. VEASEY,House,TX,M,151032,62,37,0
R000611,Mr. RIGGLEMAN,House,VA,M,16923,7,7,0
C001124,Mr. COX of California,House,CA,M,20607,0,1,0
B001305,Mr. BUDD,House,NC,M,73862,41,26,4
M001206,Mr. MORELLE,House,NY,M,86009,3,3,0
L000581,Mrs. LAWRENCE,House,MI,F,78984,28,21,0
G000571,Ms. GABBARD,House,HI,F,71940,10,6,0
D000216,Ms. DeLAURO,House,CT,F,1376898,133,98,1
K000380,Mr. KILDEE,House,MI,M,164482,12,10,0
W000797,Ms. WASSERMAN SCHULTZ,House,FL,F,621040,65,56,0
D000600,Mr. DIAZ-BALART,House,FL,M,282283,31,29,0
P000613,Mr. PANETTA,House,CA,M,118838,9,8,0
B001281,Mrs. BEATTY,House,OH,F,157012,11,11,0
P000523,Mr. PRICE of North Carolina,House,NC,M,463890,25,19,0
R000609,Mr. RUTHERFORD,House,FL,M,74458,23,23,0
C001101,Ms. CLARK of Massachusetts,House,MA,F,64033,1,1,0
S001207,Ms. SHERRILL,House,NJ,F,30850,4,4,0
H001083,Ms. KENDRA S. HORN of Oklahoma,House,OK,F,23909,5,6,0
H001087,Ms. HILL of California,House,CA,F,11177,0,0,0
E000179,Mr. ENGEL,House,NY,M,960971,84,67,0
M001157,Mr. McCAUL,House,TX,M,302101,89,72,7
C001091,Mr. CASTRO of Texas,House,TX,M,109968,19,10,0
S000522,Mr. SMITH of New Jersey,House,NJ,M,2028486,543,292,3
B001257,Mr. BILIRAKIS,House,FL,M,228333,49,42,0
R000614,Mr. ROY,House,TX,M,364821,130,88,1
