Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Ro Khanna,Democratic,California's 17th,Hinduism,,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389,K000389
Raja Krishnamoorthi,Democratic,Illinois's 8th,Hinduism,,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391,K000391
Hank Johnson,Democratic,Georgia's 4th,Buddhist,,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288,J000288
Brittany Pettersen,Democratic,Colorado's 7th,Unknown/refused to state,,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620,P000620
Sean Casten,Democratic,Illinois's 6th,Unknown/refused to state,,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117,C001117
Bill Foster,Democratic,Illinois's 11th,Unknown/refused to state,,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454,F000454
Nikki Budzinski,Democratic,Illinois's 13th,Unknown/refused to state,,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315,B001315
Sharice Davids,Democratic,Kansas's 3rd,Unknown/refused to state,,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629,D000629
Jared Golden,Democratic,Maine's 2nd,Unknown/refused to state,Unspecified Christian,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592,G000592
Melanie Stansbury,Democratic,New Mexico's 1st,Unknown/refused to state,,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218,S001218
Jamaal Bowman,Democratic,New York's 16th,Unknown/refused to state,,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223,B001223
Earl Blumenauer,Democratic,Oregon's 3rd,Unknown/refused to state,,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574,B000574
Chrissy Houlahan,Democratic,Pennsylvania's 6th,Unknown/refused to state,"Although she is of Jewish origin on her father's side, she does not identify herself as such.",H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085,H001085
Seth Magaziner,Democratic,Rhode Island's 2nd,Unknown/refused to state,"His father is Jewish, his mother Catholic.",M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223,M001223
Jennifer Wexton,Democratic,Virginia's 10th,Unknown/refused to state,"She grew up as a Catholic; she married her husband, of Jewish faith, in a mixed ceremony officiated by a rabbi and a Catholic priest.",W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825,W000825
Pramila Jayapal,Democratic,Washington's 7th,Unknown/refused to state,,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298,J000298
Mark Pocan,Democratic,Wisconsin's 2nd,Unknown/refused to state,,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607,P000607
Jared Huffman,Democratic,California's 2nd,Secular humanist/agnostic,"Raised in the Reorganized Church of Jesus Christ of Latter Day Saints (RLDS), he lost faith at age 19. Does not describe himself as an atheist, instead saying he is ""a humanist, [perhaps an] agnostic.""",H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068,H001068
